program_studi,j1,j2,j3,j17,j20,kelas
Pendidikan_Kimia,3,3,2,3,2,Adaptif
Farmasi,4,4,4,4,4,Non_Adaptif
Teknik_Mesin,3,3,1,3,3,Non_Adaptif
Pendidikan_Guru_Sekolah_Dasar,4,4,3,3,3,Non_Adaptif
Informatika,4,3,3,4,3,Non_Adaptif
Teknik_Mesin,3,3,2,3,2,Adaptif
Akuntansi,4,4,3,4,3,Adaptif
Sastra_Inggris,4,4,3,2,3,Adaptif
Manajemen,4,3,3,3,3,Adaptif
Sejarah,4,4,4,4,4,Adaptif
Akuntansi,4,4,3,4,3,Adaptif
Pendidikan_Matematika,4,4,3,3,3,Non_Adaptif
Sastra_Inggris,4,4,2,4,4,Adaptif
Psikologi,4,4,3,3,3,Adaptif
Pendidikan_Matematika,3,4,3,3,4,Adaptif
Manajemen,4,3,2,3,3,Adaptif
Sastra_Inggris,4,4,4,4,3,Adaptif
Sastra_Indonesia,3,3,2,3,3,Non_Adaptif
Psikologi,4,4,3,3,4,Adaptif
Teknologi_Perancangan_Mekanik,4,4,2,2,3,Adaptif
Pendidikan_Fisika,4,4,4,4,4,Adaptif
Pendidikan_Bahasa_Indonesia_Program_Magister,4,4,4,4,4,Adaptif
Pendidikan_Bahasa_Inggris,4,4,3,3,3,Adaptif
Psikologi,4,3,3,4,2,Non_Adaptif
Pendidikan_Fisika,4,4,4,4,4,Adaptif
Psikologi,4,4,3,3,3,Non_Adaptif
Akuntansi,3,3,2,3,3,Non_Adaptif
Pendidikan_Matematika,3,3,3,3,3,Adaptif
Pendidikan_Bahasa_Inggris,4,4,3,3,4,Adaptif
Psikologi,4,4,4,4,4,Adaptif
Pendidikan_Guru_Sekolah_Dasar,3,3,2,3,4,Adaptif
Akuntansi,4,4,4,4,4,Non_Adaptif
Pendidikan_Ekonomi_Bidang_Keahlian_Khusus_Pendidikan_Akuntansi,4,4,2,3,4,Adaptif
Pendidikan_Ekonomi_Bidang_Keahlian_Khusus_Pendidikan_Akuntansi,3,4,4,3,3,Adaptif
Farmasi,3,4,3,3,3,Adaptif
Magister_Kajian_Bahasa_Inggris,3,3,3,3,3,Adaptif
Psikologi,4,4,3,3,3,Adaptif
Teknologi_Elektromedis,4,4,3,2,2,Adaptif
Pendidikan_Matematika,4,4,2,4,3,Non_Adaptif
Farmasi,4,4,3,4,4,Adaptif
Manajemen,3,3,3,3,3,Adaptif
Informatika,4,4,2,4,3,Adaptif
Pendidikan_Guru_Sekolah_Dasar,3,3,3,3,3,Adaptif
Sastra_Inggris,4,4,3,3,3,Adaptif
Sastra_Inggris,4,3,3,3,3,Adaptif
Manajemen,4,4,3,4,3,Non_Adaptif
Farmasi,4,4,3,4,4,Adaptif
Akuntansi,2,2,2,3,3,Non_Adaptif
Sejarah,4,4,3,4,3,Adaptif
Akuntansi,3,3,3,3,3,Adaptif
Teknik_Mesin,3,3,3,3,3,Non_Adaptif
Pendidikan_Guru_Sekolah_Dasar,3,3,3,4,3,Adaptif
Pendidikan_Biologi,4,4,3,4,4,Adaptif
Sastra_Inggris,4,3,2,4,3,Adaptif
Pendidikan_Sejarah,3,4,3,4,4,Adaptif
Sastra_Inggris,4,3,3,3,3,Adaptif
Pendidikan_Guru_Sekolah_Dasar,3,4,3,3,4,Adaptif
Pendidikan_Keagamaan_Katolik,3,3,3,3,3,Adaptif
Pendidikan_Profesi_Apoteker,3,3,3,3,3,Adaptif
Teknologi_Elektromedis,4,3,3,3,3,Adaptif
Psikologi,4,4,4,4,3,Adaptif
Psikologi,4,4,3,4,4,Adaptif
Farmasi,4,4,3,3,3,Adaptif
Pendidikan_Biologi,4,4,4,3,3,Adaptif
Akuntansi,4,4,3,4,3,Adaptif
Pendidikan_Bahasa_Inggris,4,4,3,4,4,Non_Adaptif
Akuntansi,4,2,3,3,3,Adaptif
Manajemen,3,3,3,3,3,Non_Adaptif
Akuntansi,3,3,2,3,3,Adaptif
Pendidikan_Keagamaan_Katolik,4,4,4,3,3,Non_Adaptif
Psikologi,4,4,3,4,4,Adaptif
Sastra_Inggris,4,4,4,4,3,Adaptif
Sastra_Indonesia,3,3,2,2,3,Non_Adaptif
Farmasi,3,4,4,4,3,Adaptif
Sastra_Inggris,3,4,2,4,3,Adaptif
Pendidikan_Matematika,4,4,4,4,4,Adaptif
Pendidikan_Bahasa_dan_Sastra_Indonesia,3,3,3,4,3,Adaptif
Magister_Farmasi,4,4,4,4,3,Adaptif
Pendidikan_Profesi_Apoteker,4,4,4,3,3,Adaptif
Pendidikan_Guru_Sekolah_Dasar,4,4,3,4,4,Adaptif
Farmasi,4,1,3,4,4,Adaptif
