"kelas,j1,j2,j3,j17,j20,program_studi"
"Adaptif,3,3,2,3,2,Pendidikan Kimia"
"Non Adaptif,4,4,4,4,4,Farmasi"
"Non Adaptif,3,3,1,3,3,Teknik Mesin"
"Non Adaptif,4,4,3,3,3,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,3,3,4,3,Informatika"
"Adaptif,3,3,2,3,2,Teknik Mesin"
"Adaptif,4,4,3,4,3,Akuntansi"
"Adaptif,4,4,3,2,3,Sastra Inggris"
"Adaptif,4,3,3,3,3,Manajemen"
"Adaptif,4,4,4,4,4,Sejarah"
"Adaptif,4,4,3,4,3,Akuntansi"
"Non Adaptif,4,4,3,3,3,Pendidikan Matematika"
"Adaptif,4,4,2,4,4,Sastra Inggris"
"Adaptif,4,4,3,3,3,Psikologi"
"Adaptif,3,4,3,3,4,Pendidikan Matematika"
"Adaptif,4,3,2,3,3,Manajemen"
"Adaptif,4,4,4,4,3,Sastra Inggris"
"Non Adaptif,3,3,2,3,3,Sastra Indonesia"
"Adaptif,4,4,3,3,4,Psikologi"
"Adaptif,4,4,2,2,3,Teknologi Perancangan Mekanik"
"Adaptif,4,4,4,4,4,Pendidikan Fisika"
"Adaptif,4,4,4,4,4,Pendidikan Bahasa Indonesia Program Magister"
"Adaptif,4,4,3,3,3,Pendidikan Bahasa Inggris"
"Non Adaptif,4,3,3,4,2,Psikologi"
"Adaptif,4,4,4,4,4,Pendidikan Fisika"
"Non Adaptif,4,4,3,3,3,Psikologi"
"Non Adaptif,3,3,2,3,3,Akuntansi"
"Adaptif,3,3,3,3,3,Pendidikan Matematika"
"Adaptif,4,4,3,3,4,Pendidikan Bahasa Inggris"
"Adaptif,4,4,4,4,4,Psikologi"
"Adaptif,3,3,2,3,4,Pendidikan Guru Sekolah Dasar"
"Non Adaptif,4,4,4,4,4,Akuntansi"
"Adaptif,4,4,2,3,4,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
"Adaptif,3,4,4,3,3,Pendidikan Ekonomi Bidang Keahlian Khusus Pendidikan Akuntansi"
